sales_record_number,shipping
210,7.6
211,7.6
212,7.6
213,7.6
214,7.6
215,2.1
216,7.6
217,7.6
218,7.6
219,7.6
220,7.6
221,7.6
222,7.6
223,7.6
224,7.6
225,7.6
226,7.6
227,7.6
228,7.6
229,7.6
230,7.6
231,7.6
232,7.6
233,12.6
234,7.6
235,7.6
236,7.6
237,7.6
238,12.8
239,7.6
240,7.6
241,2.1
242,7.6
243,7.6
244,7.6
245,7.6
246,2.1
247,7.6
248,2.1
249,7.6
250,7.6
251,7.6
252,7.6
253,7.6
254,7.6
255,7.6
256,7.6
257,7.6
258,2.1
259,7.6
260,7.6
261,2.1
262,7.6
263,7.6
264,2.1
265,7.6
266,7.6
267,2.1
268,7.6
269,7.6
270,2.1
271,7.6
272,7.6
273,7.6
274,2.1
275,7.6
276,7.6
277,7.6
278,2.1
279,7.6
280,7.6
281,7.6
